thisRow.t,notes,step1.started,instruct.started,instruct_mouse.started,next_text.started,step1.stopped,instruct_mouse.x,instruct_mouse.y,instruct_mouse.leftButton,instruct_mouse.midButton,instruct_mouse.rightButton,instruct_mouse.time,instruct_mouse.clicked_name,step2.started,instruct2.started,instruct_mouse2.started,next_text2.started,step2.stopped,instruct_mouse2.x,instruct_mouse2.y,instruct_mouse2.leftButton,instruct_mouse2.midButton,instruct_mouse2.rightButton,instruct_mouse2.time,instruct_mouse2.clicked_name,step3_pretest1.started,instruct3.started,answerA.started,answerB.started,answerC.started,answerD.started,step3_pretest1.stopped,answerA.numClicks,answerA.timesOn,answerA.timesOff,answerB.numClicks,answerB.timesOn,answerB.timesOff,answerC.numClicks,answerC.timesOn,answerC.timesOff,answerD.numClicks,answerD.timesOn,answerD.timesOff,step3_pretest2.started,pretest.started,participant,session,date,expName,psychopyVersion,expStart,
,,0.013937800000348943,0.02160630000071251,0.013703399999940302,0.02160630000071251,0.8311409000007188,[0.018518518518518517],[-0.3990740740740741],[1],[0],[0],[0.8165596000008009],['next_text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826301,001,2025-03-31_20h33.19.817,tutorial,2024.2.4,2025-03-31 20h33.25.537711 -0500,
,,,,,,,,,,,,,,0.8389108000001215,0.8463580000006914,0.007696900000155438,0.8463580000006914,1.2810716000003595,[0.018518518518518517],[-0.3861111111111111],[1],[0],[0],[0.44165610000072775],['next_text2'],,,,,,,,,,,,,,,,,,,,,,826301,001,2025-03-31_20h33.19.817,tutorial,2024.2.4,2025-03-31 20h33.25.537711 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.2856227000002036,1.3128815000000031,1.3128815000000031,1.3128815000000031,1.3128815000000031,1.3128815000000031,3.01362539999991,0,,,0,,,0,,,1,1.700245900000482,1.7002529000001232,,,826301,001,2025-03-31_20h33.19.817,tutorial,2024.2.4,2025-03-31 20h33.25.537711 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0136775000000853,3.1122862000001987,,,,,,,
